frame,track_id,vehicle_class,x1,y1,x2,y2,centroid_x,centroid_y
10,1157,car,332,970,496,1080,414,1025
10,1158,car,1524,833,1639,967,1581,900
10,1159,person,1219,524,1245,579,1232,551
10,1163,car,599,322,677,387,638,354
10,1165,car,780,272,836,319,808,295
10,696,car,1398,618,1507,737,1452,677
10,1184,car,724,282,772,337,748,309
11,111,car,0,944,68,1077,34,1010
11,1150,bus,622,473,839,790,730,631
11,1151,car,566,524,672,643,619,583
11,1152,car,668,364,753,450,710,407
11,1153,car,130,984,334,1078,232,1031
11,1154,car,526,808,710,1041,618,924
11,1155,car,235,591,399,727,317,659
11,1156,car,513,428,620,523,566,475
11,1157,car,318,987,486,1080,402,1033
11,1158,car,1524,835,1639,968,1581,901
11,1159,person,1220,526,1246,581,1233,553
11,1163,car,598,323,674,388,636,355
11,1165,car,779,273,835,321,807,297
11,696,car,1398,617,1508,738,1453,677
11,1184,car,723,283,769,337,746,310
11,50,truck,1557,382,1918,846,1737,614
11,21,truck,1316,448,1402,562,1359,505
11,1183,car,954,301,988,347,971,324
12,111,car,0,957,55,1079,27,1018
12,1150,bus,618,477,837,796,727,636
12,1151,car,564,529,668,649,616,589
12,1152,car,662,367,752,453,707,410
12,1153,car,122,1000,324,1078,223,1039
12,1154,car,520,815,705,1051,612,933
12,1155,car,227,595,392,732,309,663
12,1156,car,510,431,618,526,564,478
12,1157,car,316,1001,477,1080,396,1040
12,1158,car,1524,835,1638,968,1581,901
12,1159,person,1220,526,1247,585,1233,555
12,1163,car,596,324,670,390,633,357
12,1165,car,778,274,835,320,806,297
12,696,car,1401,617,1508,739,1454,678
12,21,truck,1317,448,1402,559,1359,503
12,1164,car,747,203,800,236,773,219
12,1173,car,1308,547,1364,598,1336,572
12,1160,person,1772,888,1807,984,1789,936
13,111,car,0,975,43,1078,21,1026
13,1150,bus,615,477,838,803,726,640
13,1151,car,560,534,670,654,615,594
13,1152,car,661,370,750,456,705,413
13,1153,car,119,1016,308,1076,213,1046
13,1154,car,514,821,702,1062,608,941
13,1155,car,221,598,388,739,304,668
13,1156,car,507,433,615,529,561,481
13,1157,car,319,1021,460,1080,389,1050
13,1158,car,1524,837,1638,969,1581,903
13,1159,person,1220,527,1247,586,1233,556
13,1163,car,595,325,669,392,632,358
13,1165,car,777,276,834,321,805,298
13,696,car,1402,616,1508,738,1455,677
13,21,truck,1316,448,1402,558,1359,503
13,1160,person,1770,885,1806,980,1788,932
13,1169,car,552,327,672,395,612,361
13,1184,car,721,289,766,341,743,315
14,1150,bus,612,478,837,809,724,643
14,1151,car,553,538,669,661,611,599
14,1152,car,657,372,751,459,704,415
14,1153,car,118,1032,292,1078,205,1055
14,1154,car,509,830,699,1073,604,951
14,1155,car,213,604,382,745,297,674
14,1156,car,501,435,610,532,555,483
14,1157,car,322,1035,455,1080,388,1057
14,1158,car,1524,837,1639,969,1581,903
14,1159,person,1220,527,1247,586,1233,556
14,1163,car,594,327,669,394,631,360
14,1165,car,777,277,831,322,804,299
14,696,car,1402,615,1508,736,1455,675
14,21,truck,1308,448,1403,559,1355,503
14,1160,person,1767,884,1804,982,1785,933
14,1191,person,938,440,969,506,953,473
14,1169,car,553,328,670,395,611,361
14,1172,car,1315,591,1380,685,1347,638
15,1150,bus,607,482,834,818,720,650
15,1151,car,544,540,663,665,603,602
15,1152,car,657,375,748,462,702,418
15,1154,car,506,838,696,1080,601,959
15,1155,car,206,608,379,752,292,680
15,1156,car,497,435,606,536,551,485
15,1158,car,1525,838,1639,969,1582,903
15,1159,person,1220,529,1248,589,1234,559
15,1163,car,590,329,667,395,628,362
15,1165,car,778,276,830,322,804,299
15,696,car,1401,614,1507,735,1454,674
15,21,truck,1305,447,1403,560,1354,503
15,1160,person,1766,884,1802,981,1784,932
15,1191,person,939,448,968,512,953,480
15,1169,car,555,330,669,397,612,363
15,1172,car,1315,591,1381,685,1348,638
15,50,truck,1555,381,1917,842,1736,611
16,1150,bus,604,484,830,826,717,655
16,1151,car,538,541,656,671,597,606
16,1152,car,655,379,746,464,700,421
16,1154,car,501,844,693,1080,597,962
16,1155,car,201,610,374,758,287,684
16,1156,car,493,439,603,538,548,488
16,1158,car,1526,838,1639,970,1582,904
16,1159,person,1220,531,1248,590,1234,560
16,1163,car,587,331,665,395,626,363
16,1165,car,777,276,828,322,802,299
16,696,car,1400,615,1507,733,1453,674
16,1191,person,939,451,967,511,953,481
16,1169,car,554,331,667,397,610,364
16,1172,car,1315,592,1381,684,1348,638
16,50,truck,1555,379,1918,842,1736,610
17,1150,bus,597,488,828,833,712,660
17,1151,car,533,544,651,678,592,611
17,1152,car,651,381,743,466,697,423
17,1154,car,497,855,689,1080,593,967
17,1155,car,192,613,368,765,280,689
17,1156,car,490,443,601,540,545,491
17,1158,car,1526,838,1640,967,1583,902
17,1159,person,1221,532,1249,592,1235,562
17,1163,car,583,331,664,401,623,366
17,1165,car,774,279,826,324,800,301
17,696,car,1397,614,1508,734,1452,674
17,1191,person,937,453,969,509,953,481
17,1169,car,552,331,666,399,609,365
17,1172,car,1316,593,1382,684,1349,638
17,1173,car,1308,545,1363,599,1335,572
17,21,truck,1311,446,1403,560,1357,503
18,1150,bus,589,491,827,843,708,667
18,1151,car,528,550,647,683,587,616
18,1152,car,652,384,741,471,696,427
18,1154,car,494,864,686,1080,590,972
18,1155,car,182,616,363,772,272,694
18,1156,car,488,445,597,545,542,495
18,1158,car,1527,837,1641,969,1584,903
18,1159,person,1222,538,1248,595,1235,566
18,1163,car,583,332,662,405,622,368
18,1165,car,769,278,827,324,798,301
18,696,car,1398,615,1508,734,1453,674
18,1191,person,937,454,969,512,953,483
18,1172,car,1320,593,1381,683,1350,638
18,1173,car,1308,544,1364,600,1336,572
19,1150,bus,586,495,825,851,705,673
19,1151,car,521,556,645,687,583,621
19,1152,car,650,384,738,474,694,429
19,1154,car,493,871,682,1080,587,975
19,1155,car,176,624,358,778,267,701
19,1156,car,484,448,593,549,538,498
19,1158,car,1529,838,1641,971,1585,904
19,1159,person,1223,541,1249,598,1236,569
19,1163,car,582,333,661,406,621,369
19,1165,car,772,279,824,324,798,301
19,696,car,1399,615,1508,734,1453,674
19,1191,person,936,458,968,525,952,491
19,1172,car,1319,588,1381,684,1350,636
19,1173,car,1308,544,1363,601,1335,572
20,1150,bus,583,498,825,859,704,678
20,1151,car,519,560,641,694,580,627
20,1152,car,649,385,736,475,692,430
20,1154,car,492,881,679,1080,585,980
20,1155,car,168,631,352,785,260,708
20,1156,car,480,450,590,552,535,501
20,1158,car,1529,838,1642,972,1585,905
20,1159,person,1224,545,1250,601,1237,573
20,1163,car,576,336,659,406,617,371
20,1165,car,769,281,823,327,796,304
20,696,car,1400,614,1508,732,1454,673
20,1191,person,935,460,967,531,951,495
20,1172,car,1318,588,1382,684,1350,636
20,1173,car,1309,544,1363,602,1336,573
21,1150,bus,580,500,823,869,701,684
21,1151,car,515,561,639,703,577,632
21,1152,car,645,385,735,477,690,431
21,1154,car,489,889,676,1080,582,984
21,1155,car,161,636,346,792,253,714
21,1156,car,475,452,590,556,532,504
21,1158,car,1530,839,1643,974,1586,906
21,1159,person,1224,545,1252,603,1238,574
21,1163,car,570,337,658,408,614,372
21,1165,car,768,283,822,327,795,305
21,696,car,1399,614,1508,732,1453,673
21,1191,person,935,464,966,538,950,501
21,1172,car,1318,587,1382,684,1350,635
21,1173,car,1309,543,1363,601,1336,572
21,50,truck,1554,377,1918,845,1736,611
22,1150,bus,575,503,822,875,698,689
22,1151,car,511,566,634,708,572,637
22,1152,car,640,386,734,480,687,433
22,1154,car,478,900,673,1080,575,990
22,1155,car,155,640,342,798,248,719
22,1156,car,470,454,587,561,528,507
22,1158,car,1531,839,1644,974,1587,906
22,1159,person,1225,546,1253,602,1239,574
22,1163,car,562,339,654,410,608,374
22,1165,car,766,283,823,330,794,306
22,696,car,1399,614,1508,732,1453,673
22,1191,person,936,470,965,539,950,504
22,1172,car,1317,588,1382,683,1349,635
22,1173,car,1309,544,1364,600,1336,572
22,50,truck,1555,374,1918,851,1736,612
22,1184,car,706,300,755,353,730,326
22,1160,person,1761,874,1797,962,1779,918
23,1150,bus,572,505,821,880,696,692
23,1151,car,507,573,628,714,567,643
23,1152,car,637,385,733,483,685,434
23,1154,truck,479,910,670,1080,574,995
23,1155,car,145,645,335,805,240,725
23,1156,car,466,457,583,564,524,510
23,1158,car,1531,840,1645,974,1588,907
23,1159,person,1225,547,1254,605,1239,576
23,1163,car,564,340,651,412,607,376
23,1165,car,766,283,822,331,794,307
23,696,car,1399,614,1508,731,1453,672
23,1191,person,936,473,966,538,951,505
23,1173,car,1309,546,1364,598,1336,572
23,1184,car,705,304,753,356,729,330
23,1183,car,946,316,985,367,965,341
23,1169,car,535,342,649,414,592,378
23,21,truck,1315,443,1403,558,1359,500
24,1150,bus,569,511,819,888,694,699
24,1151,car,502,574,626,724,564,649
24,1152,car,633,385,733,487,683,436
24,1154,car,477,920,667,1080,572,1000
24,1155,car,136,651,331,813,233,732
24,1156,car,462,460,581,568,521,514
24,1158,car,1532,839,1646,973,1589,906
24,1159,person,1226,549,1254,606,1240,577
24,1163,car,563,343,647,415,605,379
24,1165,car,764,284,820,334,792,309
24,696,car,1398,613,1508,731,1453,672
24,1191,person,934,474,966,548,950,511
24,1173,car,1309,546,1364,598,1336,572
24,1211,person,1074,519,1098,573,1086,546
24,21,truck,1313,442,1403,557,1358,499
24,50,truck,1554,376,1918,853,1736,614
25,1150,bus,566,517,817,895,691,706
25,1151,car,497,582,625,730,561,656
25,1152,car,632,388,732,492,682,440
25,1154,car,468,930,664,1080,566,1005
25,1155,car,130,658,325,819,227,738
25,1156,car,457,463,576,572,516,517
25,1158,car,1532,839,1646,974,1589,906
25,1159,person,1227,550,1254,608,1240,579
25,1163,car,562,346,644,418,603,382
25,1165,car,758,285,820,337,789,311
25,696,car,1399,612,1508,730,1453,671
25,1191,person,934,478,965,551,949,514
25,1173,car,1309,545,1365,598,1337,571
25,1211,person,1075,520,1098,572,1086,546
25,21,truck,1311,441,1403,556,1357,498
25,1213,car,646,520,698,582,672,551
25,1214,car,726,212,787,246,756,229
25,1215,car,678,249,735,295,706,272
25,50,truck,1553,377,1918,852,1735,614
25,1184,car,702,307,751,361,726,334
26,1150,bus,564,522,814,903,689,712
26,1151,car,490,591,620,737,555,664
26,1152,car,630,393,729,495,679,444
26,1154,car,466,940,660,1080,563,1010
26,1155,car,122,663,318,827,220,745
26,1156,car,454,467,574,576,514,521
26,1158,car,1533,839,1646,972,1589,905
26,1159,person,1227,552,1257,609,1242,580
26,1163,car,562,347,643,420,602,383
26,1165,car,761,285,819,339,790,312
26,696,car,1398,612,1507,729,1452,670
26,1191,person,933,481,966,555,949,518
26,1173,car,1310,545,1365,597,1337,571
26,1211,person,1075,520,1098,571,1086,545
26,21,truck,1310,441,1403,556,1356,498
26,1213,car,643,521,697,586,670,553
26,1214,car,725,213,786,248,755,230
26,1215,car,678,250,733,295,705,272
26,50,truck,1554,381,1919,854,1736,617
26,1183,car,947,321,987,371,967,346
27,1150,bus,558,524,814,913,686,718
27,1151,car,484,598,616,745,550,671
27,1152,car,625,395,727,499,676,447
27,1154,truck,463,952,655,1080,559,1016
27,1155,car,113,667,313,837,213,752
27,1156,car,451,470,573,579,512,524
27,1158,car,1532,840,1648,975,1590,907
27,1159,person,1227,555,1257,613,1242,584
27,1163,car,560,349,641,422,600,385
27,1165,car,755,285,817,340,786,312
27,696,car,1397,611,1509,729,1453,670
27,1191,person,932,484,964,559,948,521
27,1173,car,1310,545,1366,597,1338,571
27,1211,person,1075,519,1098,571,1086,545
27,21,truck,1310,440,1403,556,1356,498
