frame,track_id,vehicle_class,x1,y1,x2,y2,centroid_x,centroid_y
9,11,car,1525,834,1637,966,1581,900
9,12,person,1219,524,1244,578,1231,551
9,16,car,604,320,680,386,642,353
9,18,car,781,270,837,318,809,294
9,24,car,1308,546,1362,606,1335,576
9,21,truck,1302,450,1402,563,1352,506
9,31,car,953,296,989,347,971,321
9,20,car,727,280,773,334,750,307
9,13,person,1773,895,1809,985,1791,940
10,1,bus,626,469,840,783,733,626
10,2,car,568,521,673,640,620,580
10,3,car,667,360,754,447,710,403
10,4,car,131,968,345,1079,238,1023
10,5,car,1398,618,1507,737,1452,677
10,6,car,531,797,713,1031,622,914
10,7,car,242,588,402,722,322,655
10,8,car,517,425,624,519,570,472
10,9,car,0,933,80,1077,40,1005
10,10,car,332,970,496,1080,414,1025
10,11,car,1524,833,1639,967,1581,900
10,12,person,1219,524,1245,579,1232,551
10,16,car,599,322,677,387,638,354
10,18,car,780,272,836,319,808,295
10,20,car,724,281,772,336,748,308
11,1,bus,622,473,839,790,730,631
11,2,car,566,524,672,643,619,583
11,3,car,668,364,753,450,710,407
11,4,car,130,984,334,1078,232,1031
11,5,car,1398,617,1508,738,1453,677
11,6,car,526,807,710,1041,618,924
11,7,car,235,591,399,727,317,659
11,8,car,513,428,620,523,566,475
11,9,car,0,945,68,1077,34,1011
11,10,car,318,987,486,1080,402,1033
11,11,car,1524,835,1639,968,1581,901
11,12,person,1220,526,1246,581,1233,553
11,16,car,598,323,674,388,636,355
11,18,car,779,273,835,321,807,297
11,20,car,723,283,770,337,746,310
11,21,truck,1316,448,1402,562,1359,505
11,31,car,954,301,988,347,971,324
12,1,bus,618,477,837,796,727,636
12,2,car,564,529,668,649,616,589
12,3,car,662,367,752,453,707,410
12,4,car,122,1000,324,1078,223,1039
12,5,car,1401,617,1508,739,1454,678
12,6,car,520,815,705,1051,612,933
12,7,car,227,595,392,732,309,663
12,8,car,510,431,618,526,564,478
12,9,car,0,958,55,1079,27,1018
12,10,car,316,1000,477,1080,396,1040
12,11,car,1524,835,1638,968,1581,901
12,12,person,1220,526,1247,585,1233,555
12,16,car,596,324,670,390,633,357
12,18,car,778,274,835,320,806,297
12,21,truck,1318,448,1402,559,1360,503
12,17,car,747,203,800,236,773,219
12,24,car,1308,547,1364,598,1336,572
12,13,person,1772,888,1807,984,1789,936
13,1,bus,615,477,838,803,726,640
13,2,car,560,534,670,654,615,594
13,3,car,661,370,750,456,705,413
13,4,car,119,1016,308,1076,213,1046
13,5,car,1402,616,1508,738,1455,677
13,6,car,514,821,702,1062,608,941
13,7,car,221,598,388,739,304,668
13,8,car,507,433,615,529,561,481
13,9,car,0,976,42,1078,21,1027
13,10,car,319,1021,460,1080,389,1050
13,11,car,1524,837,1638,969,1581,903
13,12,person,1220,527,1247,586,1233,556
13,16,car,595,325,669,392,632,358
13,18,car,777,276,834,321,805,298
13,21,truck,1317,448,1402,558,1359,503
13,13,person,1770,885,1806,980,1788,932
13,22,car,552,327,672,395,612,361
13,20,car,721,288,766,341,743,314
14,1,bus,612,478,837,809,724,643
14,2,car,553,538,669,661,611,599
14,3,car,657,372,751,459,704,415
14,4,car,118,1032,292,1078,205,1055
14,5,car,1402,615,1508,736,1455,675
14,6,car,509,830,700,1073,604,951
14,7,car,213,604,382,745,297,674
14,8,car,501,435,610,532,555,483
14,10,car,322,1035,455,1080,388,1057
14,11,car,1524,837,1639,969,1581,903
14,12,person,1220,527,1247,586,1233,556
14,16,car,594,327,669,394,631,360
14,18,car,777,277,831,322,804,299
14,21,truck,1308,448,1403,559,1355,503
14,13,person,1767,884,1804,982,1785,933
14,40,person,938,440,969,506,953,473
14,22,car,553,328,670,395,611,361
14,19,car,1315,591,1380,685,1347,638
15,1,bus,607,482,834,818,720,650
15,2,car,544,540,663,665,603,602
15,3,car,657,375,748,462,702,418
15,5,car,1401,614,1507,735,1454,674
15,6,car,506,838,696,1080,601,959
15,7,car,206,608,379,752,292,680
15,8,car,497,435,606,536,551,485
15,11,car,1525,838,1639,969,1582,903
15,12,person,1220,529,1248,589,1234,559
15,16,car,590,329,667,395,628,362
15,18,car,778,276,830,322,804,299
15,21,truck,1305,447,1403,560,1354,503
15,13,person,1766,884,1802,981,1784,932
15,40,person,939,448,968,512,953,480
15,22,car,555,330,669,397,612,363
15,19,car,1315,591,1381,685,1348,638
16,1,bus,604,484,830,826,717,655
16,2,car,538,541,656,671,597,606
16,3,car,655,379,746,464,700,421
16,5,car,1400,615,1507,733,1453,674
16,6,car,501,844,693,1080,597,962
16,7,car,201,610,374,758,287,684
16,8,car,493,439,603,538,548,488
16,11,car,1526,838,1639,970,1582,904
16,12,person,1220,531,1248,590,1234,560
16,16,car,587,331,665,395,626,363
16,18,car,777,276,828,322,802,299
16,40,person,939,451,967,511,953,481
16,22,car,554,331,667,397,610,364
16,19,car,1315,592,1381,685,1348,638
16,50,truck,1556,379,1918,843,1737,611
17,1,bus,597,488,828,833,712,660
17,2,car,533,544,651,678,592,611
17,3,car,651,381,743,466,697,423
17,5,car,1397,614,1508,734,1452,674
17,6,car,497,855,689,1080,593,967
17,7,car,192,613,368,765,280,689
17,8,car,490,443,601,540,545,491
17,11,car,1526,838,1640,967,1583,902
17,12,person,1221,532,1249,592,1235,562
17,16,car,583,331,664,401,623,366
17,18,car,774,279,826,324,800,301
17,40,person,937,453,969,509,953,481
17,22,car,552,331,666,399,609,365
17,19,car,1316,593,1382,684,1349,638
17,24,car,1308,545,1363,599,1335,572
17,21,truck,1311,446,1403,560,1357,503
18,1,bus,589,491,827,843,708,667
18,2,car,528,550,647,683,587,616
18,3,car,652,384,741,471,696,427
18,5,car,1398,615,1508,734,1453,674
18,6,car,494,864,686,1080,590,972
18,7,car,182,616,363,772,272,694
18,8,car,488,445,597,545,542,495
18,11,car,1527,837,1641,969,1584,903
18,12,person,1222,538,1248,595,1235,566
18,16,car,583,332,662,405,622,368
18,18,car,769,278,827,324,798,301
18,40,person,937,454,969,512,953,483
18,19,car,1320,593,1381,683,1350,638
18,24,car,1308,544,1364,600,1336,572
19,1,bus,586,495,825,851,705,673
19,2,car,521,556,645,687,583,621
19,3,car,650,384,738,474,694,429
19,5,car,1399,615,1508,734,1453,674
19,6,car,493,871,682,1080,587,975
19,7,car,176,624,358,778,267,701
19,8,car,484,448,593,549,538,498
19,11,car,1529,838,1641,971,1585,904
19,12,person,1223,541,1249,598,1236,569
19,16,car,582,333,661,406,621,369
19,18,car,773,279,824,324,798,301
19,40,person,936,458,968,525,952,491
19,19,car,1319,587,1381,684,1350,635
19,24,car,1308,544,1363,601,1335,572
20,1,bus,583,498,825,859,704,678
20,2,car,519,560,641,694,580,627
20,3,car,649,385,736,475,692,430
20,5,car,1400,615,1508,732,1454,673
20,6,car,492,881,679,1080,585,980
20,7,car,168,631,352,785,260,708
20,8,car,480,450,590,552,535,501
20,11,car,1529,838,1642,972,1585,905
20,12,person,1224,545,1250,601,1237,573
20,16,car,577,336,659,406,618,371
20,18,car,769,281,823,327,796,304
20,40,person,935,460,967,531,951,495
20,19,car,1318,588,1382,684,1350,636
20,24,car,1309,544,1363,602,1336,573
21,1,bus,580,500,823,869,701,684
21,2,car,515,561,639,703,577,632
21,3,car,645,385,735,477,690,431
21,5,car,1399,615,1508,732,1453,673
21,6,car,489,889,676,1080,582,984
21,7,car,161,636,346,792,253,714
21,8,car,475,452,590,556,532,504
21,11,car,1530,839,1643,974,1586,906
21,12,person,1224,545,1252,603,1238,574
21,16,car,570,337,658,408,614,372
21,18,car,768,283,822,327,795,305
21,40,person,935,464,966,538,950,501
21,19,car,1318,587,1382,684,1350,635
21,24,car,1309,543,1363,601,1336,572
21,50,truck,1555,377,1918,845,1736,611
22,1,bus,575,503,822,875,698,689
22,2,car,511,566,634,708,572,637
22,3,car,640,386,734,480,687,433
22,5,car,1399,614,1508,732,1453,673
22,6,car,478,900,673,1080,575,990
22,7,car,155,640,342,798,248,719
22,8,car,470,454,587,561,528,507
22,11,car,1531,839,1644,974,1587,906
22,12,person,1225,546,1253,602,1239,574
22,16,car,562,339,654,410,608,374
22,18,car,766,283,823,330,794,306
22,40,person,936,470,965,539,950,504
22,19,car,1317,588,1382,683,1349,635
22,24,car,1309,544,1364,600,1336,572
22,50,truck,1555,374,1918,852,1736,613
22,20,car,706,300,755,353,730,326
22,13,person,1761,874,1797,962,1779,918
23,1,bus,572,505,821,880,696,692
23,2,car,507,573,628,714,567,643
23,3,car,637,385,733,483,685,434
23,5,car,1399,614,1508,731,1453,672
23,6,truck,479,910,671,1080,575,995
